Id,Date,Day,Task,Client,Total,Work unit notes
1,2014-3-10,Mon,DSGN-SKETCHUP,MEN,0:44,Work-kiosk design
2,2014-3-10,Mon,PROMNG,MEN,8:15,Project planning; Work-vendor mngt
3,2014-3-11,Tue,WORKOUT,PHY,0:15,
4,2014-3-11,Tue,DESIGN,MEN,1:03,Porfolio-learn design trends
5,2014-3-11,Tue,SYSADM,MEN,1:02,Work-acuity
6,2014-3-11,Tue,PROMNG,MEN,7:13,Work-vendor management; hiring; Work-vendor management; hiring
7,2014-3-12,Wed,SYSADM,MEN,11:34,work-acuity; jobber; vendor management; hr tasks; work-acuity; jobber
8,2014-3-12,Wed,PERSDEV,MEN,0:25,RSS
9,2014-3-13,Thu,SYSADM,MEN,1:51,Work - jobber; Work - reseller hosting
10,2014-3-14,Fri,WORKOUT,PHY,0:15,
11,2014-3-14,Fri,DESIGN,MEN,3:00,portfolio; portfolio
12,2014-3-15,Sat,DESIGN,MEN,0:42,Work-office layout
13,2014-3-15,Sat,DSGN-PHOTOSHOP,MEN,3:52,Work-football jersey; MyPrj
14,2014-3-15,Sat,SYSADM,MEN,0:48,Work-acuity
15,2014-3-15,Sat,PROMNG,MEN,1:01,work-organize hvac services
16,2014-3-16,Sun,SYSDEV,MEN,2:50,RSS-workflow; frameworks
17,2014-3-16,Sun,DESIGN,MEN,1:57,Work-build concept for alallamhost; logo design; myprj-plugins
18,2014-3-16,Sun,PERSDEV,MEN,2:00,RSS-entrepreneur
19,2014-3-17,Mon,SYSDEV,MEN,2:04,Work-workflow
20,2014-3-17,Mon,DSGN-PHOTOSHOP,MEN,1:45,work
21,2014-3-17,Mon,PROMNG,MEN,2:00,work-acuity; jobber; gps
22,2014-3-18,Tue,WORKOUT,PHY,0:09,
23,2014-3-18,Tue,SYSDEV,MEN,8:00,Work-gps
24,2014-3-18,Tue,PROMNG,MEN,1:44,Work-project planning
25,2014-3-18,Tue,PERSDEV,MEN,0:19,Talent is not enough
26,2014-3-19,Wed,DESIGN,MEN,2:59,Work-alallam host theme; work-alallhost theme design
27,2014-3-19,Wed,SYSADM,MEN,2:59,Work- hris; vendor mngt
28,2014-3-19,Wed,R&R,MEN,1:02,Vikings s02e03
29,2014-3-20,Thu,SYSDEV,MEN,0:51,Workflow
30,2014-3-20,Thu,SYSADM,MEN,3:51,Work-acuity; Work-vendor mngt; cmpany profile; social media
31,2014-3-20,Thu,PROMNG,MEN,2:08,Work-project plan; workflow
32,2014-3-21,Fri,WORKOUT,PHY,0:18,
33,2014-3-21,Fri,SYSDEV,MEN,2:41,Trng-workflow; sass; Trng-workflow; sass
34,2014-3-22,Sat,SYSDEV,MEN,1:05,workflow
35,2014-3-22,Sat,DSGN-PHOTOSHOP,MEN,0:20,work-google map
36,2014-3-22,Sat,SYSADM,MEN,5:26,work-hris; Work-vmngt; Work-jobber gps; acuity; Work-gps; acuity
37,2014-3-22,Sat,PROMNG,MEN,0:49,work-project planning
38,2014-3-22,Sat,WRITING,MEN,1:48,work-documentation
39,2014-3-23,Sun,WORKOUT,PHY,0:21,
40,2014-3-23,Sun,SYSDEV,MEN,1:27,Workflow-compilers
41,2014-3-23,Sun,DESIGN,MEN,0:17,Myprj-portfolio
42,2014-3-23,Sun,SYSADM,MEN,6:05,work-acuity; Work-hris; work-acuity; work-acuity; rcvd new instruct to delete all trans frm 2/26 to 3/22  - credit card rcvd
43,2014-3-24,Mon,WORKOUT,PHY,0:15,
44,2014-3-24,Mon,SYSADM,MEN,7:59,work-acuity; gps config; work-hris; work-acuity; work-jobber; work-acuity
45,2014-3-24,Mon,PERSDEV,MEN,0:30,RSS
46,2014-3-25,Tue,SYSDEV,MEN,5:26,work-seo; Wrkflow; myprj-workflow
47,2014-3-25,Tue,SYSADM,MEN,1:33,work-client mngt - manpower service quotation; work order; work-document control work order
48,2014-3-25,Tue,PROMNG,MEN,1:28,work-proj planning
49,2014-3-26,Wed,WORKOUT,PHY,0:12,
50,2014-3-26,Wed,SYSDEV,MEN,0:31,wrkflow-video guides yeoman
51,2014-3-26,Wed,SYSADM,MEN,3:58,work-hris; work-acuity; work-acuity:schedule for april; work-hris; Work-acuity
52,2014-3-27,Thu,WORKOUT,PHY,0:13,
53,2014-3-27,Thu,SYSDEV,MEN,0:15,Wrkflow
54,2014-3-27,Thu,SYSADM,MEN,9:37,Work-acuity ; create manual 4 acuity; Work-jobber gps tagging: i need data of mario and gilbert; Work-acuity ; create manual 4 acuity; Work-acuity ; create manual 4 acuity; Work-acuity ; create manual 4 acuity
55,2014-3-28,Fri,SYSDEV,MEN,2:41,wrkflow; wrkflow
56,2014-3-28,Fri,R&R,MEN,1:49,history
